foe_code,cluster_code,course_id,eftsl,CSP_student_contribution,CSP_commonwealth_contribution
10101,1,3028,0.625,2778.125,9321.875
10101,1,3277,0.625,2778.125,9321.875
10101,1,3277,0.625,2778.125,9321.875
10101,1,3277,0.625,2778.125,9321.875
10101,1,3285,0.625,2778.125,9321.875
10101,1,3288,0.625,2778.125,9321.875
10101,1,3292,0.625,2778.125,9321.875
10101,1,3297,0.625,2778.125,9321.875
10101,1,3299,0.625,2778.125,9321.875
10101,1,3315,0.625,2778.125,9321.875
10101,1,3315,0.625,2778.125,9321.875
10101,1,3315,0.625,2778.125,9321.875
10101,1,3315,0.625,2778.125,9321.875
10101,1,3322,0.625,2778.125,9321.875
10101,1,3322,0.625,2778.125,9321.875
10101,1,4733,0.625,2778.125,9321.875
10101,1,4733,0.625,2778.125,9321.875
10101,1,4919,0.625,2778.125,9321.875
10101,1,2947,0.5,2222.5,7457.5
10101,1,2950,0.5,2222.5,7457.5
10101,1,2951,0.5,2222.5,7457.5
10101,1,2951,0.5,2222.5,7457.5
10101,1,2951,0.5,2222.5,7457.5
10101,1,2976,0.5,2222.5,7457.5
10101,1,2978,0.5,2222.5,7457.5
10101,1,2981,0.5,2222.5,7457.5
10101,1,3017,0.5,2222.5,7457.5
10101,1,3028,0.5,2222.5,7457.5
10101,1,3028,0.5,2222.5,7457.5
10101,1,3277,0.5,2222.5,7457.5
10101,1,3277,0.5,2222.5,7457.5
10101,1,3292,0.5,2222.5,7457.5
10101,1,3305,0.5,2222.5,7457.5
10101,1,3322,0.5,2222.5,7457.5
10101,1,4919,0.5,2222.5,7457.5
10101,1,2947,0.375,1666.875,5593.125
10101,1,2947,0.375,1666.875,5593.125
10101,1,2951,0.375,1666.875,5593.125
10101,1,2951,0.375,1666.875,5593.125
10101,1,2976,0.375,1666.875,5593.125
10101,1,2978,0.375,1666.875,5593.125
10101,1,2981,0.375,1666.875,5593.125
10101,1,2999,0.375,1666.875,5593.125
10101,1,3028,0.375,1666.875,5593.125
10101,1,3028,0.375,1666.875,5593.125
10101,1,3277,0.375,1666.875,5593.125
10101,1,3277,0.375,1666.875,5593.125
10101,1,3277,0.375,1666.875,5593.125
10101,1,3279,0.375,1666.875,5593.125
10101,1,3285,0.375,1666.875,5593.125
10101,1,3957,0.375,1666.875,5593.125
10101,1,4733,0.375,1666.875,5593.125
10101,1,4986,0.375,1666.875,5593.125
10101,1,5028,0.375,1666.875,5593.125
10101,1,5029,0.375,1666.875,5593.125
10101,1,5029,0.375,1666.875,5593.125
10101,1,5055,0.375,1666.875,5593.125
10101,1,2938,0.25,1111.25,3728.75
10101,1,2947,0.25,1111.25,3728.75
10101,1,2947,0.25,1111.25,3728.75
10101,1,2950,0.25,1111.25,3728.75
10101,1,2950,0.25,1111.25,3728.75
10101,1,2951,0.25,1111.25,3728.75
10101,1,2951,0.25,1111.25,3728.75
10101,1,2951,0.25,1111.25,3728.75
10101,1,2951,0.25,1111.25,3728.75
10101,1,2951,0.25,1111.25,3728.75
10101,1,2954,0.25,1111.25,3728.75
10101,1,2956,0.25,1111.25,3728.75
10101,1,2956,0.25,1111.25,3728.75
10101,1,2969,0.25,1111.25,3728.75
10101,1,2973,0.25,1111.25,3728.75
10101,1,2973,0.25,1111.25,3728.75
10101,1,2975,0.25,1111.25,3728.75
10101,1,2978,0.25,1111.25,3728.75
10101,1,2978,0.25,1111.25,3728.75
10101,1,2981,0.25,1111.25,3728.75
10101,1,2983,0.25,1111.25,3728.75
10101,1,2984,0.25,1111.25,3728.75
10101,1,2999,0.25,1111.25,3728.75
10101,1,3015,0.25,1111.25,3728.75
10101,1,3017,0.25,1111.25,3728.75
10101,1,3017,0.25,1111.25,3728.75
10101,1,3022,0.25,1111.25,3728.75
10101,1,3028,0.25,1111.25,3728.75
10101,1,3277,0.25,1111.25,3728.75
10101,1,3277,0.25,1111.25,3728.75
10101,1,3278,0.25,1111.25,3728.75
10101,1,3284,0.25,1111.25,3728.75
10101,1,3284,0.25,1111.25,3728.75
10101,1,3285,0.25,1111.25,3728.75
10101,1,3287,0.25,1111.25,3728.75
10101,1,3314,0.25,1111.25,3728.75
10101,1,3314,0.25,1111.25,3728.75
10101,1,3315,0.25,1111.25,3728.75
10101,1,3315,0.25,1111.25,3728.75
10101,1,3315,0.25,1111.25,3728.75
10101,1,3315,0.25,1111.25,3728.75
10101,1,3322,0.25,1111.25,3728.75
10101,1,3322,0.25,1111.25,3728.75
10101,1,3322,0.25,1111.25,3728.75
10101,1,4918,0.25,1111.25,3728.75
10101,1,4920,0.25,1111.25,3728.75
10101,1,4965,0.25,1111.25,3728.75
10101,1,4967,0.25,1111.25,3728.75
10101,1,5032,0.25,1111.25,3728.75
10101,1,5057,0.25,1111.25,3728.75
10101,1,5068,0.25,1111.25,3728.75
10101,1,2938,0.125,555.625,1864.375
10101,1,2947,0.125,555.625,1864.375
10101,1,2947,0.125,555.625,1864.375
10101,1,2950,0.125,555.625,1864.375
10101,1,2950,0.125,555.625,1864.375
10101,1,2950,0.125,555.625,1864.375
10101,1,2950,0.125,555.625,1864.375
10101,1,2950,0.125,555.625,1864.375
10101,1,2950,0.125,555.625,1864.375
10101,1,2951,0.125,555.625,1864.375
10101,1,2951,0.125,555.625,1864.375
10101,1,2951,0.125,555.625,1864.375
10101,1,2951,0.125,555.625,1864.375
10101,1,2954,0.125,555.625,1864.375
10101,1,2954,0.125,555.625,1864.375
10101,1,2954,0.125,555.625,1864.375
10101,1,2954,0.125,555.625,1864.375
10101,1,2954,0.125,555.625,1864.375
10101,1,2956,0.125,555.625,1864.375
10101,1,2956,0.125,555.625,1864.375
10101,1,2969,0.125,555.625,1864.375
10101,1,2969,0.125,555.625,1864.375
10101,1,2969,0.125,555.625,1864.375
10101,1,2973,0.125,555.625,1864.375
10101,1,2973,0.125,555.625,1864.375
10101,1,2973,0.125,555.625,1864.375
10101,1,2973,0.125,555.625,1864.375
10101,1,2974,0.125,555.625,1864.375
10101,1,2974,0.125,555.625,1864.375
10101,1,2977,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2978,0.125,555.625,1864.375
10101,1,2980,0.125,555.625,1864.375
10101,1,2981,0.125,555.625,1864.375
10101,1,2983,0.125,555.625,1864.375
10101,1,2983,0.125,555.625,1864.375
10101,1,2983,0.125,555.625,1864.375
10101,1,2984,0.125,555.625,1864.375
10101,1,2984,0.125,555.625,1864.375
10101,1,2984,0.125,555.625,1864.375
10101,1,2984,0.125,555.625,1864.375
10101,1,2994,0.125,555.625,1864.375
10101,1,2995,0.125,555.625,1864.375
10101,1,2995,0.125,555.625,1864.375
10101,1,2997,0.125,555.625,1864.375
10101,1,2997,0.125,555.625,1864.375
10101,1,2999,0.125,555.625,1864.375
10101,1,3017,0.125,555.625,1864.375
10101,1,3017,0.125,555.625,1864.375
10101,1,3017,0.125,555.625,1864.375
10101,1,3017,0.125,555.625,1864.375
10101,1,3017,0.125,555.625,1864.375
10101,1,3022,0.125,555.625,1864.375
10101,1,3022,0.125,555.625,1864.375
10101,1,3022,0.125,555.625,1864.375
10101,1,3022,0.125,555.625,1864.375
10101,1,3022,0.125,555.625,1864.375
