"row_id","course_type_broad_name","funding_group_name","unit_level","unit_primary_foe_code","unit_primary_foe_detailed_name","unit_primary_foe_narrow_name","unit_primary_foe_broad_name","eftsl_2024"
"33","Undergraduate","Domestic - C'wealth Supported","4","090300","Studies In Human Society","Studies In Human Society","Society And Culture","2.750"
"34","Undergraduate","Domestic - C'wealth Supported","4","100101","Music","Performing Arts","Creative Arts","0.250"
"35","Undergraduate","Domestic - C'wealth Supported","4","090399","Studies In Human Society Not Elsewhere Classified","Studies In Human Society","Society And Culture","8.000"
"36","Undergraduate","Domestic - C'wealth Supported","5","100700","Communication And Media Studies","Communication And Media Studies","Creative Arts","0.125"
"37","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.125"
"38","Undergraduate","Domestic - C'wealth Supported","4","090300","Studies In Human Society","Studies In Human Society","Society And Culture","3.250"
"39","Undergraduate","Domestic - C'wealth Supported","4","090399","Studies In Human Society Not Elsewhere Classified","Studies In Human Society","Society And Culture","7.750"
"40","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.250"
"41","Undergraduate","Domestic - C'wealth Supported","4","100101","Music","Performing Arts","Creative Arts","0.125"
"42","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","0.500"
"43","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","0.125"
"44","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","0.500"
"45","Undergraduate","Domestic - C'wealth Supported","4","090399","Studies In Human Society Not Elsewhere Classified","Studies In Human Society","Society And Culture","0.125"
"46","Undergraduate","Domestic - C'wealth Supported","4","090300","Studies In Human Society","Studies In Human Society","Society And Culture","2.000"
"47","Undergraduate","Domestic - C'wealth Supported","4","090307","Archaeology","Studies In Human Society","Society And Culture","1.000"
"48","Undergraduate","Domestic - C'wealth Supported","5","090399","Studies In Human Society Not Elsewhere Classified","Studies In Human Society","Society And Culture","0.250"
"49","Undergraduate","Domestic - C'wealth Supported","4","090999","Law Not Elsewhere Classified","Law","Society And Culture","0.750"
"50","Undergraduate","Domestic - C'wealth Supported","4","090999","Law Not Elsewhere Classified","Law","Society And Culture","0.750"
"51","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","0.500"
"52","Undergraduate","Domestic - C'wealth Supported","4","090307","Archaeology","Studies In Human Society","Society And Culture","1.250"
"53","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.750"
"54","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.250"
"55","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.250"
"56","Undergraduate","Domestic - C'wealth Supported","4","090305","History","Studies In Human Society","Society And Culture","0.375"
"57","Undergraduate","Domestic - C'wealth Supported","4","100701","Audio Visual Studies","Communication And Media Studies","Creative Arts","1.500"
"58","Undergraduate","Domestic - C'wealth Supported","4","090303","Anthropology","Studies In Human Society","Society And Culture","1.750"
"59","Undergraduate","Domestic - C'wealth Supported","5","090905","Criminal Law","Law","Society And Culture","0.500"
"60","Undergraduate","Domestic - C'wealth Supported","5","090101","Political Science","Political Science And Policy Studies","Society And Culture","0.250"
"61","Undergraduate","Domestic - C'wealth Supported","4","091701","Philosophy","Philosophy And Religious Studies","Society And Culture","0.875"
"62","Undergraduate","Domestic - C'wealth Supported","4","090305","History","Studies In Human Society","Society And Culture","0.625"
"63","Undergraduate","Domestic - C'wealth Supported","4","100101","Music","Performing Arts","Creative Arts","0.125"
"64","Undergraduate","Domestic - C'wealth Supported","4","090999","Law Not Elsewhere Classified","Law","Society And Culture","0.375"
"65","Undergraduate","Domestic - C'wealth Supported","5","090103","Policy Studies","Political Science And Policy Studies","Society And Culture","0.125"
"66","Undergraduate","Domestic - C'wealth Supported","5","090101","Political Science","Political Science And Policy Studies","Society And Culture","0.125"
"67","Undergraduate","Domestic - C'wealth Supported","4","091523","Literature","Language And Literature","Society And Culture","1.875"
"68","Undergraduate","Domestic - C'wealth Supported","4","091523","Literature","Language And Literature","Society And Culture","1.500"
"69","Undergraduate","Domestic - C'wealth Supported","5","100799","Communication And Media Studies Not Elsewhere Classified","Communication And Media Studies","Creative Arts","0.125"
"70","Undergraduate","Domestic - C'wealth Supported","4","091701","Philosophy","Philosophy And Religious Studies","Society And Culture","0.250"
"71","Undergraduate","Domestic - C'wealth Supported","4","090305","History","Studies In Human Society","Society And Culture","0.750"
"72","Undergraduate","Domestic - C'wealth Supported","4","090313","Gender Specific Studies","Studies In Human Society","Society And Culture","0.625"
"73","Undergraduate","Domestic - C'wealth Supported","5","090909","International Law","Law","Society And Culture","0.125"
"74","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.875"
"75","Undergraduate","Domestic - C'wealth Supported","4","090399","Studies In Human Society Not Elsewhere Classified","Studies In Human Society","Society And Culture","0.625"
"76","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.875"
"77","Undergraduate","Domestic - C'wealth Supported","4","090305","History","Studies In Human Society","Society And Culture","0.625"
"78","Undergraduate","Domestic - C'wealth Supported","4","091523","Literature","Language And Literature","Society And Culture","0.500"
"79","Undergraduate","Domestic - C'wealth Supported","4","091505","Southern European Languages","Language And Literature","Society And Culture","0.125"
"80","Undergraduate","Domestic - C'wealth Supported","4","091523","Literature","Language And Literature","Society And Culture","1.500"
"81","Undergraduate","Domestic - C'wealth Supported","4","091701","Philosophy","Philosophy And Religious Studies","Society And Culture","0.125"
"82","Undergraduate","Domestic - C'wealth Supported","4","100301","Fine Arts","Visual Arts And Crafts","Creative Arts","0.500"
"83","Undergraduate","Domestic - C'wealth Supported","4","100301","Fine Arts","Visual Arts And Crafts","Creative Arts","1.000"
"84","Undergraduate","Domestic - C'wealth Supported","4","100301","Fine Arts","Visual Arts And Crafts","Creative Arts","1.250"
"85","Undergraduate","Domestic - C'wealth Supported","4","099999","Society And Culture Not Elsewhere Classified","Other Society And Culture","Society And Culture","0.375"
"86","Undergraduate","Domestic - C'wealth Supported","4","100301","Fine Arts","Visual Arts And Crafts","Creative Arts","0.375"
"87","Undergraduate","Domestic - C'wealth Supported","4","100301","Fine Arts","Visual Arts And Crafts","Creative Arts","1.000"
"88","Undergraduate","Domestic - C'wealth Supported","4","091303","Curatorial Studies","Librarianship, Information Management And Curatorial Studies","Society And Culture","0.250"
"89","Undergraduate","Domestic - C'wealth Supported","4","099999","Society And Culture Not Elsewhere Classified","Other Society And Culture","Society And Culture","0.375"
"90","Undergraduate","Domestic - C'wealth Supported","4","099999","Society And Culture Not Elsewhere Classified","Other Society And Culture","Society And Culture","0.750"
"91","Undergraduate","Domestic - C'wealth Supported","4","099999","Society And Culture Not Elsewhere Classified","Other Society And Culture","Society And Culture","0.250"
"92","Undergraduate","Domestic - C'wealth Supported","4","099999","Society And Culture Not Elsewhere Classified","Other Society And Culture","Society And Culture","0.375"
"93","Undergraduate","Domestic - C'wealth Supported","5","090501","Social Work","Human Welfare Studies And Services","Society And Culture","0.125"
"94","Undergraduate","Domestic - C'wealth Supported","4","090313","Gender Specific Studies","Studies In Human Society","Society And Culture","0.750"
"95","Undergraduate","Domestic - C'wealth Supported","4","090313","Gender Specific Studies","Studies In Human Society","Society And Culture","0.750"
"96","Undergraduate","Domestic - C'wealth Supported","5","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","1.000"
"97","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","2.000"
"98","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","1.875"
"99","Undergraduate","Domestic - C'wealth Supported","5","100700","Communication And Media Studies","Communication And Media Studies","Creative Arts","0.125"
"100","Undergraduate","Domestic - C'wealth Supported","5","100700","Communication And Media Studies","Communication And Media Studies","Creative Arts","0.125"
"101","Undergraduate","Domestic - C'wealth Supported","4","069903","Human Movement","Other Health","Health","0.125"
"102","Undergraduate","Domestic - C'wealth Supported","5","020119","Artificial Intelligence","Computer Science","Information Technology","0.250"
"103","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.875"
"104","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.875"
