BROAD Discipline (FOE) ,NARROW Discipline (FOE) ,DETAILED Discipline (FOE) ,Funding Cluster,2024 Maximum Student Contibution,2024 Commonwealth Contribution,"Special Course Type Code for the Course of Study
(E312 of 27)","Maximum student contribution indicator
(E392 =8)",2024 Grandfathered Maximum Student Contibution,2024 Grandfathered Maximum Student Contibution
12 - MIXED FIELD PROGRAMMES,1205-Employment Skills Programs,120505 - Work Practices Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1205-Employment Skills Programs,"120599 - Employment Skills Programs, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1299 - Other Mixed Field Programmes,129900 - Other Mixed Field Programmes,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
01 - NATURAL AND PHYSICAL SCIENCES,0101 - Mathematical Sciences,010100 - Mathematical Sciences,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
01 - NATURAL AND PHYSICAL SCIENCES,0101 - Mathematical Sciences,010101 - Mathematics,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
01 - NATURAL AND PHYSICAL SCIENCES,0101 - Mathematical Sciences,010103 - Statistics,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
01 - NATURAL AND PHYSICAL SCIENCES,0101 - Mathematical Sciences,"010199 - Mathematical Sciences, n.e.c.",Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070100 - Teacher Education,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070103 - Teacher Education: Primary,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070105 - Teacher Education: Secondary,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070107 - Teacher-Librarianship,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070109 - Teacher Education: Vocational Education and Training,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070111 - Teacher Education: Higher Education,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070113 - Teacher Education: Special Education,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070115 - English as a Second Language Teaching,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,070117 - Nursing Education Teacher Training,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0701 - Teacher Education,"070199 - Teacher Education, n.e.c.",Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0703 - Curriculum and Education Studies,070300 - Curriculum and Education Studies,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0703 - Curriculum and Education Studies,070301 - Curriculum Studies,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0703 - Curriculum and Education Studies,070303 - Education Studies,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0799 - Other Education,079900 - Other Education,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
07 - EDUCATION,0799 - Other Education,"079999 - Education, n.e.c.",Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091500 - Language and Literature,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091501 - English Language,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091521 - Linguistics,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091523 - Literature,Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",Funding Cluster 2,"$4,445","$14,915",Any E312 value,Any E392 value,"$4,445","$4,445"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020100 - Computer Science,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020101 - Formal Language Theory,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020103 - Programming,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020105 - Computational Theory,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020107 - Compiler Construction,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020109 - Algorithms,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020111 - Data Structures,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020113 - Networks and Communications,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020115 - Computer Graphics,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020117 - Operating Systems,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,020119 - Artificial Intelligence,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0201 - Computer Science,"020199 - Computer Science, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0203 - Information Systems,020300 - Information Systems,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0203 - Information Systems,020301 - Conceptual Modelling,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0203 - Information Systems,020303 - Database Management,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0203 - Information Systems,020305 - Systems Analysis and Design,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0203 - Information Systems,020307 - Decision Support Systems,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0203 - Information Systems,"020399 - Information Systems, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0299 - Other Information Technology,029900 - Other Information Technology,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0299 - Other Information Technology,029901 - Security Science,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
02 - INFORMATION TECHNOLOGY,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0401 - Architecture and Urban Environment,040100 - Architecture and Urban Environment,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0401 - Architecture and Urban Environment,040101 - Architecture,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0401 - Architecture and Urban Environment,040105 - Landscape Architecture,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040300 - Building,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040301 - Building Science and Technology,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040303 - Building Construction Management,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040305 - Building Surveying,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040307 - Building Construction Economics,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040309 - Bricklaying and Stonemasonry,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040311 - Carpentry and Joinery,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,"040313 - Ceiling, Wall and Floor Fixing",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040315 - Roof Fixing,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040317 - Plastering,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040319 - Furnishing Installation,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040321 - Floor Coverings,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040323 - Glazing,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,"040325 - Painting, Decorating and Sign Writing",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040327 - Plumbing,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,040329 - Scaffolding and Rigging,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
04 - ARCHITECTURE AND BUILDING,0403 - Building,"040399 - Building, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0605 - Pharmacy,060500 - Pharmacy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0605 - Pharmacy,060501 - Pharmacy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0609 - Optical Science,060900 - Optical Science,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0609 - Optical Science,060901 - Optometry,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0609 - Optical Science,060903 - Optical Technology,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0609 - Optical Science,"060999 - Optical Science, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061300 - Public Health,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061301 - Occupational Health and Safety,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061303 - Environmental Health,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061305 - Indigenous Health,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061307 - Health Promotion,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061309 - Community Health ,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,061311 - Epidemiology,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0613 - Public Health,"061399 - Public Health, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0615 - Radiography,061500 - Radiography,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0615 - Radiography,061501 - Radiography,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061700 - Rehabilitation Therapies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061701 - Physiotherapy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061703 - Occupational Therapy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061705 - Chiropractic and Osteopathy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061707 - Speech Pathology,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061709 - Audiology,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061711 - Massage Therapy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,061713 - Podiatry,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0617 - Rehabilitation Therapies,"061799 - Rehabilitation Therapies, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0619 - Complementary Therapies,061900 - Complementary Therapies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0619 - Complementary Therapies,061901 - Naturopathy,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0619 - Complementary Therapies,061903 - Acupuncture,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0619 - Complementary Therapies,061905 - Traditional Chinese Medicine,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0619 - Complementary Therapies,"061999 - Complementary Therapies, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0699 - Other Health,069900 - Other Health,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0699 - Other Health,069901 - Nutrition and Dietetics,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0699 - Other Health,069905 - Paramedical Studies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0699 - Other Health,069907 - First Aid,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0699 - Other Health,"069999 - Health, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$8,948","$8,948"
10 - CREATIVE ARTS,1001 - Performing Arts,100100 - Performing Arts,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1001 - Performing Arts,100101 - Music,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1001 - Performing Arts,100103 - Drama and Theatre Studies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1001 - Performing Arts,100105 - Dance,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1001 - Performing Arts,"100199 - Performing Arts, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,100300 - Visual Arts and Crafts,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,100301 - Fine Arts,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,100303 - Photography,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,100305 - Crafts,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,100307 - Jewellery Making,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,100309 - Floristry,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1003 - Visual Arts and Crafts,"100399 - Visual Arts and Crafts, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1005 - Graphic and Design Studies,100500 - Graphic and Design Studies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1005 - Graphic and Design Studies,100503 - Textile Design,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1005 - Graphic and Design Studies,100505 - Fashion Design,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1005 - Graphic and Design Studies,"100599 - Graphic and Design Studies, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1099 - Other Creative Arts,109900 - Other Creative Arts,Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",Funding Cluster 2,"$8,948","$14,915",Any E312 value,Any E392 value,"$7,659","$7,659"
06 - HEALTH,0603 - Nursing,060300 - Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060301 - General Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060303 - Midwifery,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060305 - Mental Health Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060307 - Community Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060309 - Critical Care Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060311 - Aged Care Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060313 - Palliative Care Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,060315 - Mothercraft Nursing and Family and Child Health Nursing,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0603 - Nursing,"060399 - Nursing, n.e.c.",Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091503 - Northern European Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091505 - Southern European Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091507 - Eastern European Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091509 - Southwest Asian and North African Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091511 - Southern Asian Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091513 - Southeast Asian Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091515 - Eastern Asian Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091517 - Australian Indigenous Languages,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
09 - SOCIETY AND CULTURE,0915 - Language and Literature,091519 - Translating and Interpreting,Funding Cluster 3,"$4,445","$18,292",Any E312 value,Any E392 value,"$4,445","$4,445"
01 - NATURAL AND PHYSICAL SCIENCES,0103 - Physics and Astronomy,010300 - Physics and Astronomy,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0103 - Physics and Astronomy,010301 - Physics,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0103 - Physics and Astronomy,010303 - Astronomy,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0105 - Chemical Sciences,010500 - Chemical Sciences,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0105 - Chemical Sciences,010501 - Organic Chemistry,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0105 - Chemical Sciences,010503 - Inorganic Chemistry,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0105 - Chemical Sciences,"010599 - Chemical Sciences, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010700 - Earth Sciences,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010701 - Atmospheric Sciences,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010703 - Geology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010705 - Geophysics,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010707 - Geochemistry,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
